game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,expectimax_d2,random,A,124,4,5.488701400,0.000104900,25,25,25,25
1,expectimax_d2,random,A,123,7,5.530034400,0.000101200,25,25,25,25
2,expectimax_d2,random,A,97,14,4.595946800,0.000097100,25,25,25,25
