game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,rule,expectimax,A,33,20,0.094986700,12.220813000,25,25
1,rule,expectimax,A,35,13,0.128310700,12.761351300,25,25
2,rule,expectimax,A,28,18,0.081107900,10.221241200,25,25
