game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,mcts,expectimax,A,31,24,4.537504800,15.443695200,25,25
1,mcts,expectimax,A,34,21,4.466190600,12.506011300,25,25
2,mcts,expectimax,A,26,24,4.358140200,12.115176400,25,25
