game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,rule,expectimax,B,21,33,0.074781100,12.549509700,25,25
1,rule,expectimax,A,33,25,0.077982400,14.282790700,25,25
2,rule,expectimax,A,33,19,0.178604000,14.046995000,25,25
