game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,greedy,rule,A,113,90,1.137840200,0.879562800,50,50
1,greedy,rule,A,3,0,0.006428800,0.003120100,3,2
2,greedy,rule,A,112,99,1.162670200,0.650649200,50,50
3,greedy,rule,draw,0,0,0.001301100,0.000000000,1,0
4,greedy,rule,B,94,112,0.958007200,0.640460400,50,50
5,greedy,rule,A,27,20,0.167332000,0.112898600,14,13
6,greedy,rule,B,63,136,1.247918400,0.873928300,50,50
7,greedy,rule,A,6,0,0.046746400,0.020232900,4,3
