game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,rule,expectimax_d2,B,5,12,0.027758400,1.140339200,7,7,7,7
1,rule,expectimax_d2,A,10,2,0.004439800,0.351207300,5,4,5,4
2,rule,expectimax_d2,A,11,0,0.022690000,0.654041600,6,5,6,5
