game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,rule,mcts,A,18,16,0.057271700,3.479356000,15,15
1,rule,mcts,A,16,15,0.087225500,3.450816400,15,15
2,rule,mcts,A,19,12,0.055390300,3.030318200,15,15
